player1,player2,win_probability_p1,actual_outcome
Rotari A.,Kalev L.,0.5419,0
Stracar P.,Polak S.,0.4109,1
Huchok A.,Budnikov A.,0.4353,0
Drobov D.,Bochkovskyi V.,0.636,1
Vasylets A.,Ziakun V.,0.5039,1
Hries V.,Khairov D.,0.4541,0
Solomko S.,Semenets S.,0.3674,0
Hofmann M.,Brichacek D.,0.5518,1
Bazany D.,Varga K.,0.4582,1
Mihalachi I.,Rotaru S.,0.5417,1
Fedyna R.,Prus S.,0.5,0
Boklah R.,Priadko Y.,0.5,1
Zholubak R.,Vilenchyts N.,0.4231,1
Kovshun Y.,Novikov V.,0.4541,0
Klymenko K.,Minenko A.,0.502,0
Horak D.,Hofmann M.,0.5,0
Melnic F.,Bulat P.,0.3314,0
Zelman D.,Polak S.,0.4999,0
Dulich A.,Konkulovskyi R.,0.5,1
Maliuk S.,Lyman O.,0.3754,0
Burdelnyi S.,Dovzhenko S.,0.4541,0
Pitsyk S.,Polysynskyi M.,0.4752,0
Fafek J.,Brichacek D.,0.5452,1
Dubrovin V.,Danilov I.,0.5646,0
Tokar M.,Stracar P.,0.5416,0
Sheremeta V.,Gil T.,0.5,1
Vasylets A.,Boklah R.,0.5458,1
Hries V.,Kovshun Y.,0.5,0
Peretiatko A.,Bambutsa R.,0.5568,1
Hofmann M.,Horak D.,0.5459,1
Shkepu S.,Mul S.,0.3783,0
Fedyna R.,Konkulovskyi R.,0.5,0
Lykhytskyi O.,Kovalchuk O.,0.5211,1
Lyman O.,Ziakun V.,0.5439,1
Dovzhenko S.,Khairov D.,0.5,1
Sokolov S.,Balakiriev M.,0.4412,1
Brichacek D.,Fafek J.,0.4137,0
Ni I.,Sofroni D.,0.5,1
Chelpanov S.,Shyndel I.,0.5401,1
Gil T.,Prus S.,0.4541,1
Maliuk S.,Priadko Y.,0.4251,1
Burdelnyi S.,Novikov V.,0.413,0
Pitsyk S.,Bambutsa R.,0.5423,1
Stehlik M.,Cuba M.,0.4603,1
Dubrovin V.,Mul S.,0.4173,0
Kurischenko Y.,Bondarenko S.,0.6139,0
Dulich A.,Sheremeta V.,0.5,0
Vasylets A.,Lyman O.,0.5055,0
Balakiriev M.,Polysynskyi M.,0.4675,1
Hries V.,Dovzhenko S.,0.3692,0
Provaznik L.,Merkl R.,0.5417,1
Sofroni D.,Danilov I.,0.4511,0
Fedyna R.,Gil T.,0.452,1
Lykhytskyi O.,Shyndel I.,0.5185,0
Maliuk S.,Boklah R.,0.4265,1
Burdelnyi S.,Kovshun Y.,0.458,1
Peretiatko A.,Sokolov S.,0.5269,0
Stehlik M.,Merkl R.,0.591,1
Shkepu S.,Ni I.,0.4406,0
Bondarenko S.,Kovalchuk O.,0.4685,0
Sheremeta V.,Konkulovskyi R.,0.5459,0
Ziakun V.,Priadko Y.,0.5477,1
Khairov D.,Novikov V.,0.458,0
Pitsyk S.,Balakiriev M.,0.4606,0
Provaznik L.,Cuba M.,0.502,0
Dubrovin V.,Sofroni D.,0.5632,1
Chelpanov S.,Kurischenko Y.,0.6001,0
Dulich A.,Prus S.,0.5021,0
Vasylets A.,Maliuk S.,0.6103,0
Sokolov S.,Bambutsa R.,0.6141,0
Stehlik M.,Provaznik L.,0.5498,0
Ni I.,Mul S.,0.4029,0
Fedyna R.,Sheremeta V.,0.4584,0
Lykhytskyi O.,Bondarenko S.,0.5933,1
Lyman O.,Priadko Y.,0.6708,0
Dovzhenko S.,Novikov V.,0.4999,1
Peretiatko A.,Polysynskyi M.,0.487,0
Merkl R.,Cuba M.,0.3785,1
Shkepu S.,Danilov I.,0.3977,0
Dulich A.,Gil T.,0.5,0
Kurischenko Y.,Shyndel I.,0.4849,1
Boklah R.,Ziakun V.,0.4567,0
Kovshun Y.,Khairov D.,0.4544,1
Pitsyk S.,Sokolov S.,0.4755,0
Provaznik L.,Stehlik M.,0.5007,1
Dubrovin V.,Ni I.,0.5151,1
Chelpanov S.,Kovalchuk O.,0.5794,1
Konkulovskyi R.,Prus S.,0.5041,0
Peretiatko A.,Balakiriev M.,0.4274,0
Cuba M.,Merkl R.,0.5664,0
Shkepu S.,Sofroni D.,0.4887,0
Fedyna R.,Dulich A.,0.5042,1
Lykhytskyi O.,Kurischenko Y.,0.4808,0
Bambutsa R.,Polysynskyi M.,0.3996,1
Barsa T.,Vesely F.,0.5019,1
Mul S.,Danilov I.,0.594,1
Chelpanov S.,Bondarenko S.,0.6839,0
Sheremeta V.,Prus S.,0.4978,1
Pitsyk S.,Peretiatko A.,0.489,1
Vitek M.,Pfleger M.,0.5377,0
Dubrovin V.,Shkepu S.,0.6547,1
Gil T.,Konkulovskyi R.,0.498,1
Shyndel I.,Kovalchuk O.,0.5446,1
Sokolov S.,Polysynskyi M.,0.5074,1
Barsa T.,Pfleger M.,0.5378,1
Ni I.,Danilov I.,0.4561,1
Lykhytskyi O.,Chelpanov S.,0.4485,0
Balakiriev M.,Bambutsa R.,0.6073,1
Vitek M.,Vesely F.,0.4982,1
Sofroni D.,Mul S.,0.2929,0
Kurischenko Y.,Kovalchuk O.,0.6179,1
Shypilov A.,Hovorunets O.,0.5,0
Barsa T.,Vitek M.,0.5477,0
Bondarenko S.,Shyndel I.,0.3934,0
Vlasenko V.,Kasianyk N.,0.5,0
Pfleger M.,Vesely F.,0.5117,0
Chaikovskyi B.,Sydorak N.,0.5,0
Pereyaslavsky D.,Sokoltsov Y.,0.4168,1
Vitek M.,Barsa T.,0.5026,1
Dukhovenko O.,Hrymovskyi O.,0.5,1
Shypilov A.,Kasianyk N.,0.4541,1
Volkov P.,Samofal Y.,0.4137,0
Vesely F.,Pfleger M.,0.5353,1
Chepurnyi A.,Babenko P.,0.5,0
Sydorak N.,Hovorunets O.,0.5,0
Kobets V.,Kostiuk B.,0.5851,0
Tkachov S.,Mishchenko O.,0.4786,0
Vlasenko V.,Chaikovskyi B.,0.5,1
Pereyaslavsky D.,Samofal Y.,0.4669,1
Dukhovenko O.,Babenko P.,0.5,1
Shypilov A.,Sydorak N.,0.5021,0
